Year,Units,Series,Value
2010,Million tonnes,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1289.0
2011,Million tonnes,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1411.0
2012,Million tonnes,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1328.0
2013,Million tonnes,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1318.0
2014,Million tonnes,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1341.0
2015,Million tonnes,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1239.0
2016,Million tonnes,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1304.0
2017,Million tonnes,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1387.0
2018,Million tonnes,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1373.0
2010,Tonnes per capita,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),15.8
2011,Tonnes per capita,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),17.6
2012,Tonnes per capita,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.5
2013,Tonnes per capita,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.3
2014,Tonnes per capita,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.5
2015,Tonnes per capita,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),15.1
2016,Tonnes per capita,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),15.8
2017,Tonnes per capita,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.7
2018,Tonnes per capita,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.5
2010,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,113.1
2011,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,119.1
2012,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,111.7
2013,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,110.3
2014,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,109.8
2015,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,100.0
2016,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,103.0
2017,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,106.7
2018,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,104.3
