Year,Units,Series,Value
2010,mn t,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1289
2011,mn t,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1411
2012,mn t,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1328
2013,mn t,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1318
2014,mn t,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1341
2015,mn t,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1239
2016,mn t,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1304
2017,mn t,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1387
2018,mn t,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1373
2010,t per capita,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),15.8
2011,t per capita,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),17.6
2012,t per capita,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.5
2013,t per capita,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.3
2014,t per capita,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.5
2015,t per capita,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),15.1
2016,t per capita,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),15.8
2017,t per capita,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.7
2018,t per capita,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.5
2010,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,113.1
2011,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,119.1
2012,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,111.7
2013,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,110.3
2014,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,109.8
2015,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,100.0
2016,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,103.0
2017,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,106.7
2018,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,104.3

